X,Y,OBJECTID,MAR_WARD,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,TOTAL_AFFORDABLE_UNITS,LATITUDE,LONGITUDE,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,CASE_ID,ADDRESS_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM
-77.040482206989935,38.920601041966776,1589,Ward 1,"1731 Kalorama Road Northwest, Washington, District of Columbia 20009",1731 Kalorama Rd NW,Under Construction,DHCD,4,38.920593,-77.04048,0,0,0,4,0,,284081,396489.63,139192.1,1731 KALORAMA ROAD NW,2019-12-30T04:00:25.000Z
-77.031354441614567,38.912765696711233,1590,Ward 2,"1357 R Street Northwest, Washington, District of Columbia 20001",The Liz,Under Construction,DHCD,12,38.912777,-77.0317,0,1,11,0,0,,318772,397280.88,138322,1357 R STREET NW,2019-12-30T04:00:25.000Z
-76.992916895806417,38.900440141649682,1591,Ward 6,"920 H Street Northeast, Washington, District of Columbia 20002",Ashton Park,Under Construction,DHCD,2,38.900433,-76.992915,0,1,1,0,0,,82520,400614.61,136953.32,920 H STREET NE,2019-12-30T04:00:25.000Z
-77.051456585338173,38.924033040361252,1592,Ward 3,"2607 Connecticut Avenue Northwest, Washington, District of Columbia 20009",2607 Connecticut Ave NW,Under Construction,DHCD,2,38.924026,-77.051454,0,0,0,2,0,,219104,395538.16,139573.56,2607 CONNECTICUT AVENUE NW,2019-12-30T04:00:25.000Z
-77.034018295369876,38.920285790984458,1593,Ward 1,"1460 Belmont St NW, Washington, District of Columbia 20009",1460 Belmont St NW,Under Construction,DHCD,2,38.920278,-77.034016,0,0,0,2,0,,,397050.159544663,139156.875751129,,2019-12-30T04:00:25.000Z
-77.039456934650104,38.920801647776571,1594,Ward 1,"1724 Kalorama Road Northwest, Washington, District of Columbia 20009",1724 Kalorama Rd Apartments,Under Construction,DHCD,5,38.920794,-77.039455,0,0,0,5,0,,277127,396578.55,139214.33,1724 KALORAMA ROAD NW,2019-12-30T04:00:25.000Z
-77.016382325624804,38.973673788622065,1595,Ward 4,"218 Vine Street Northwest, Washington, District of Columbia 20012",218 Vine St NW,Pipeline,DHCD,121,38.973666,-77.01638,24,84,13,0,0,,300685,398580.6,145083,218 VINE STREET NW,2019-12-30T04:00:25.000Z
-81.529192133279366,37.577269187734757,1596,,,The Barnett Aden,Pipeline,DHCD,24,,,0,0,24,0,0,,,0,0,,2019-12-30T04:00:25.000Z
-76.983184633728044,38.865646412547342,1597,,"1928 15th Street Southeast, Washington, District of Columbia 20020",Homes Within Reach,Under Construction,DHCD,2,,,0,2,0,0,0,,319482,401459.53,133091.06,1928 15TH STREET SE,2019-12-30T04:00:25.000Z
-77.039456934650104,38.920801647776571,1598,Ward 1,"1724 Kalorama Road Northwest, Washington, District of Columbia 20009",Jubilee Kalorama,Pipeline,DHCD,17,,,17,0,0,0,0,,277127,396578.55,139214.33,1724 KALORAMA ROAD NW,2019-12-30T04:00:25.000Z
